LbandSAR,PbandSAR,Q1
0,0,
0,1,0.0008822825165970972
0,2,0.000741889326152394
0,3,0.000973147057601959
0,4,0.01574654689617219
0,5,0.0010610846017713755
0,6,0.01560426133753169
0,7,0.0042837196499463095
0,8,0.0007957531299211287
0,9,0.008752064768373827
1,0,0.0036194663780437786
1,1,0.0015809152422317616
1,2,0.0006638671792727919
1,3,0.003622052442788189
1,4,0.001139298629151221
1,5,0.004113551618107406
1,6,0.002669133083643959
1,7,0.001837854270619653
1,8,0.0015947301481313851
1,9,0.001459309846080729
2,0,0.00353979544132406
2,1,0.003405270924397973
2,2,0.0018107482243443825
2,3,0.002465857142908945
2,4,0.008119858593315954
2,5,0.0024904983708981757
2,6,0.001729191162723525
2,7,0.002003942863902389
2,8,0.0014124545921298157
2,9,0.0013998876756926666
3,0,0.0031773957296067487
3,1,0.008852628024458842
3,2,0.0021391582326941287
3,3,0.0017389338892657518
3,4,0.007377035901072542
3,5,0.0018050183740172792
3,6,0.0026619665790149293
3,7,0.0019294527538920305
3,8,0.009353317770742256
3,9,0.008332233086491345
4,0,0.0010352068970429138
4,1,0.002031738278284582
4,2,0.001807133017669537
4,3,0.0005729809759873177
4,4,0.001711844265593731
4,5,0.0016607140389380817
4,6,0.0018657141350855214
4,7,0.0011371455669380406
4,8,0.0017150253115766061
4,9,0.012834725871715606
5,0,0.001519729829380263
5,1,0.00217458678911061
5,2,0.0004794654712137239
5,3,0.003243361096152665
5,4,0.0014612787647979926
5,5,0.0009710585101759148
5,6,0.0014984333009724839
5,7,0.0006530267658674279
5,8,0.0015796097309922364
5,9,0.001695088551055565
6,0,0.03516324062819287
6,1,0.005617069165131685
6,2,0.0023317162328002623
6,3,0.028157205879053137
6,4,0.0017379367926865328
6,5,0.0015478157558553758
6,6,0.01566978502004656
6,7,0.0013499144254524123
6,8,0.015699077621655823
6,9,0.01966295558974339
7,0,0.0033129201559273023
7,1,0.19555265799444263
7,2,0.0013381290750594161
7,3,0.002781771963631484
7,4,0.005022207237698514
7,5,0.006487175488153434
7,6,0.0031912492790272524
7,7,0.0010082767412396072
7,8,0.0009768127469783863
7,9,0.0009401519828006474
8,0,0.00402127039985655
8,1,0.0021737991231247154
8,2,0.0016096803730620147
8,3,0.01653130011956856
8,4,0.002304618113712775
8,5,0.004277030784690255
8,6,0.0012245742979775398
8,7,0.000990725146126243
8,8,0.0011359257630327866
8,9,0.002018674727211249
9,0,0.011939294334867486
9,1,0.0028851325988238424
9,2,0.00294480354925069
9,3,0.002625049483999376
9,4,0.00220955294507282
9,5,0.002521401230217721
9,6,0.002789038805817025
9,7,0.00422788426023869
9,8,0.00159793170953818
9,9,0.0050720528584088775
