LbandSAR,PbandSAR,Q1
0,0,
0,1,0.0035221401071749013
0,2,0.05492463781631119
0,3,0.0007508779622236646
0,4,0.0015200696304557197
0,5,0.004306196337173185
0,6,0.0019588249376799424
0,7,0.001360123797721497
0,8,0.0012183452917834063
0,9,0.0009211746483423246
1,0,0.008196572324809685
1,1,0.004116609095539699
1,2,0.005383907399299418
1,3,0.005809797555025494
1,4,0.0021533426348585185
1,5,0.00791435707021589
1,6,0.004464617356099047
1,7,0.002624005987082392
1,8,0.03452092595123407
1,9,0.016396480921166672
2,0,0.017182610901011492
2,1,0.0019339931808268493
2,2,0.001639727249273457
2,3,0.0015885410045326997
2,4,0.003710021372366519
2,5,0.010773160065655903
2,6,0.004045427801633361
2,7,0.003564897608896526
2,8,0.005002381553868416
2,9,0.01386943766508525
3,0,0.005064679967580388
3,1,0.006071259789230559
3,2,0.0024228616494651675
3,3,0.003485712335306378
3,4,0.002663163429661508
3,5,0.002652374451123256
3,6,0.0035188802486145585
3,7,0.005849368306754433
3,8,0.0014813879078379062
3,9,0.004153525701808514
4,0,0.0026162187040094107
4,1,0.04169364641610735
4,2,0.003329529389678993
4,3,0.0022433292613300185
4,4,0.004913883744565797
4,5,0.02874455055359306
4,6,0.0015514475081867924
4,7,0.0019907244131465553
4,8,0.0028052477190543957
4,9,0.010396563986149519
5,0,0.0017831894683984484
5,1,0.0031442451551111496
5,2,0.030008194655174566
5,3,0.005742912645130609
5,4,0.0023912684718914194
5,5,0.0026381052084886395
5,6,0.0017375759906922072
5,7,0.00170241886905834
5,8,0.0023079383402644107
5,9,0.003203959951839369
6,0,0.005449648565185214
6,1,0.0021211969062365495
6,2,0.0019061634834021423
6,3,0.0013454088072935605
6,4,0.003623448424660206
6,5,0.0040050969980870476
6,6,0.004004970344523634
6,7,0.0022442541311032665
6,8,0.009041041399060309
6,9,0.004979503937110314
7,0,0.01823395675965474
7,1,0.00615501937713453
7,2,0.008580455167299657
7,3,0.003945380607607838
7,4,0.008896689142730502
7,5,0.013513999152112712
7,6,0.003946513382040864
7,7,0.014958747009482645
7,8,0.008843514611532502
7,9,0.0011269754722458352
8,0,0.004298282675561398
8,1,0.005614298222158493
8,2,0.005077927369511396
8,3,0.0025465943250006346
8,4,0.0027803932175367004
8,5,0.007180281682786009
8,6,0.005206209995464784
8,7,0.0609920295911091
8,8,0.0022198214758754765
8,9,0.0032628641356653543
9,0,0.0020463811662967345
9,1,0.010688142555364962
9,2,0.009870103743268993
9,3,0.00951755093365556
9,4,0.005992181960217905
9,5,0.006246740053830282
9,6,0.0059244807443176355
9,7,0.009782580931040329
9,8,0.008801872751075648
9,9,0.008665352422636954
