LbandSAR,PbandSAR,Q1
0,0,
0,1,0.01664519644614743
0,2,0.0016697691172646463
0,3,0.0005284950584373644
0,4,0.02292310666462955
0,5,0.001365925204770573
0,6,0.00754698788997045
0,7,0.0023654734224084883
0,8,0.0007037267990622388
0,9,0.0014212941442183346
1,0,0.0053351007563421
1,1,0.0017353584815629815
1,2,0.0016515493192097795
1,3,0.007379368905759353
1,4,0.0025048307790797655
1,5,0.040441414973458115
1,6,0.00833629514883694
1,7,0.0014714801572625253
1,8,0.001198143204780493
1,9,0.0014314688134156122
2,0,0.0060435716156771015
2,1,0.002054027105324828
2,2,0.007212739670227098
2,3,0.002728147594617043
2,4,0.0025016761702841535
2,5,0.009466804709902101
2,6,0.0021788666674887377
2,7,0.0016656071554927553
2,8,0.0012000868177684367
2,9,0.003779612395886128
3,0,0.008361186797583745
3,1,0.004848740289125163
3,2,0.006845392258089085
3,3,0.001617233264550125
3,4,0.0013046988420862542
3,5,0.002310907768856687
3,6,0.0016178055903719776
3,7,0.0011178245467973486
3,8,0.0019344437645113129
3,9,0.0010122719963201036
4,0,0.006636247724346508
4,1,0.0013099752897578966
4,2,0.0016669604879312949
4,3,0.0010909231748335625
4,4,0.0028842104921610145
4,5,0.001315270521224508
4,6,0.008306738282783305
4,7,0.0009355073869898402
4,8,0.013105433226048612
4,9,0.018061368723830105
5,0,0.005178058364626692
5,1,0.000755503708672533
5,2,0.0006321216353805366
5,3,0.0013239687153444846
5,4,0.0010186423670884958
5,5,0.0011261099032287567
5,6,0.001366770097356548
5,7,0.0010490906129868214
5,8,0.0009598945911015584
5,9,0.0011408107526451325
6,0,0.004515854881602411
6,1,0.0046465423397038874
6,2,0.018303914456428264
6,3,0.0014171080604399335
6,4,0.0020310796776604467
6,5,0.0017331430590752004
6,6,0.0029949450508877412
6,7,0.0006988746599486615
6,8,0.0011598947622341457
6,9,0.012577025713623865
7,0,0.0016567327964274702
7,1,0.0016014725200111238
7,2,0.0008960495141531709
7,3,0.024191487476317813
7,4,0.002829596635837254
7,5,0.0007380346554149582
7,6,0.013168499531263544
7,7,0.0007365757647917149
7,8,0.0006167786956430139
7,9,0.001218337099881049
8,0,0.0014292048303149755
8,1,0.0029907403516416073
8,2,0.03291034155019574
8,3,0.0016106999636340217
8,4,0.0009653323737950233
8,5,0.0017696814506105408
8,6,0.000946786680902183
8,7,0.0011443748954382549
8,8,0.0015676195133620596
8,9,0.0014910523599270522
9,0,0.0029164886226211314
9,1,0.0033555964884588183
9,2,0.0016783027090001735
9,3,0.001909210773458296
9,4,0.0016140886217949847
9,5,0.0033941207806705413
9,6,0.001754129846865157
9,7,0.019771663543874947
9,8,0.0009860706605073339
9,9,0.011246109918395189
