LbandSAR,PbandSAR,Q1
0,0,
0,1,0.0015844834537486346
0,2,0.01665739566128085
0,3,0.0010621279810268329
0,4,0.0014369273600400702
0,5,0.0015336668237069893
0,6,0.001020058381040988
0,7,0.0011594648247823303
0,8,0.0007685648597151462
0,9,0.0004109610799385324
1,0,0.005931522488420585
1,1,0.03221932401112243
1,2,0.0007040012914393104
1,3,0.0027644921028229436
1,4,0.030089728761842394
1,5,0.0032068059217167455
1,6,0.001476891713544962
1,7,0.015748055482722872
1,8,0.0014430320587026715
1,9,0.011950879447122663
2,0,0.009523286752476776
2,1,0.002934101459915033
2,2,0.0027896337250955987
2,3,0.002808943976785548
2,4,0.0018687941476740557
2,5,0.0021187076191485407
2,6,0.0012959338311303707
2,7,0.008182180263862643
2,8,0.0019441383823141651
2,9,0.010767741936188869
3,0,0.006006533241460394
3,1,0.004472522088225095
3,2,0.001654536180259844
3,3,0.0017760719501124312
3,4,0.0077362170994981485
3,5,0.009939810558480072
3,6,0.0012646939264309126
3,7,0.00163055339962794
3,8,0.0007191558664127058
3,9,0.0006354865549608278
4,0,0.003982579623255385
4,1,0.0020582672587912743
4,2,0.001354031564791653
4,3,0.0006671091411920264
4,4,0.017657048653809678
4,5,0.0018970659270962276
4,6,0.009724603557759337
4,7,0.025795017524679782
4,8,0.014330287780948523
4,9,0.00057207887714863
5,0,0.015070707045261872
5,1,0.0011693501782460806
5,2,0.02298885503646394
5,3,0.00187602334692668
5,4,0.07664522148430944
5,5,0.003870904007532553
5,6,0.00042833654460298204
5,7,0.0012202237002693055
5,8,0.0018275543547878362
5,9,0.0017155303589431298
6,0,0.003254588253877778
6,1,0.002419985595736868
6,2,0.0016460307703054333
6,3,0.006482558829158452
6,4,0.002029717213950408
6,5,0.016996497134594318
6,6,0.001265745084599435
6,7,0.0013696033504764546
6,8,0.0018677139093607905
6,9,0.013835779825590349
7,0,0.0029290189034246613
7,1,0.0025057218785707906
7,2,0.002353788985346936
7,3,0.0028664724254324303
7,4,0.019131478474714775
7,5,0.0030774026698383314
7,6,0.001017251611224062
7,7,0.0021199988961572067
7,8,0.0012786700816177878
7,9,0.024149002899826535
8,0,0.0026078645013415222
8,1,0.004271328488362209
8,2,0.0017205564453630104
8,3,0.012072837833810059
8,4,0.008939623880078514
8,5,0.002555498858836556
8,6,0.03425307845236348
8,7,0.0009834325137979042
8,8,0.0014680386053264585
8,9,0.0015726358166990115
9,0,0.004678650713350416
9,1,0.07256807426097629
9,2,0.0034770441901399887
9,3,0.001627537108049109
9,4,0.0019347456479635555
9,5,0.0017841009682883237
9,6,0.001673790426903337
9,7,0.0013774816833567198
9,8,0.017161998035180516
9,9,0.009080614199642454
