# file: s2.21600-43199.May.30.22.19.27.prettyPlan.csv May.30.22.19.27
# Spacecraft with id sat2
# Epoch [JDUT1] is 2458852.8125
# Step size [s] is 1.0
TP,mode,L-band,P-band,L-band GPs,P-band GPs,reward
0,obs,,P.21,,[440352 440353],0.08513
1,obs,,P.21,,[438235 438236 438237],0.16941
2,obs,,P.21,,[436109 436110 436111],0.02839
3,obs,,P.21.E,,,
4,slew,,,,,
5,slew,,,,,
6,slew,,,,,
7,slew,,,,,
8,obs,,P.18.S,,,
9,obs,,P.18,,[423075],0.01352
10,obs,,,,,
11,obs,,P.18,,[420868 420869 420870],0.07481
12,obs,,P.18.E,,,
13,obs,,P.18.S,,,
14,obs,,P.18,,[416445],0.02621
15,obs,,P.18.E,,,
16,slew,,,,,
17,slew,,,,,
18,slew,,,,,
19,idle,,,,,
20,idle,,,,,
21,obs,,P.16.S,,,
22,obs,,P.16,,[407508],0.01686
23,obs,,P.16,,[407509],0.03463
24,obs,,P.16,,[405264 405265],0.02671
25,obs,,P.16,,[405266 405267],0.02847
26,obs,,P.16,,[403034 403035 403036 403037],0.17503
27,obs,,,,,
28,obs,,P.16,,[400815],0.00676
29,obs,,,,,
30,obs,,P.16,,[398586 398587],0.02212
31,obs,,,,,
32,obs,,P.16,,[396354],0.00893
33,obs,,,,,
34,obs,,P.16,,[394104],0.05169
35,obs,,P.16.E,,,
37,obs,,P.16.S,,,
38,obs,,P.16,,[387401],0.0178
39,obs,,P.16,,[387402],0.02748
40,obs,,P.16,,[385178 385179],0.02586
41,obs,,P.16.E,,,
42,slew,,,,,
43,slew,,,,,
44,slew,,,,,
45,obs,,P.14.S,,,
46,obs,,P.14,,[378607 380789],0.06805
47,obs,,P.14,,[378608 378609 378610 378611],0.10798
48,obs,,P.14,,[376396 376397],0.05768
49,obs,,P.14,,[376398 376399 376400],0.09719
50,obs,,P.14,,[374140],0.05193
51,obs,,P.14,,[374141 374142],0.12037
52,obs,,P.14.E,,,
57,obs,,P.14.S,,,
58,obs,,P.14,,[365040],0.01639
59,obs,,,,,
60,obs,,P.14,,[362732 362733],0.0447
61,obs,,P.14.E,,,
62,slew,,,,,
63,slew,,,,,
64,slew,,,,,
65,slew,,,,,
66,slew,,,,,
67,slew,,,,,
68,slew,,,,,
69,slew,,,,,
70,slew,,,,,
71,slew,,,,,
72,slew,,,,,
73,slew,,,,,
74,slew,,,,,
75,slew,,,,,
76,slew,,,,,
77,slew,,,,,
78,slew,,,,,
79,slew,,,,,
80,obs,,P.32.S,,,
81,obs,,P.32,,[320432 320433 320434 320435 320436],0.04058
82,obs,,P.32,,[320429 320430 320431],0.15522
