# file: s3.43200-64799.May.31.22.10.18.prettyPlan.csv May.31.22.10.18
# Spacecraft with id sat3
# Epoch [JDUT1] is 2458853.0625
# Step size [s] is 1.0
TP,mode,L-band,P-band,L-band GPs,P-band GPs,reward
2,idle,,,,,
3,idle,,,,,
4,idle,,,,,
5,idle,,,,,
6,idle,,,,,
7,idle,,,,,
8,idle,,,,,
9,idle,,,,,
10,idle,,,,,
11,idle,,,,,
12,idle,,,,,
13,idle,,,,,
14,idle,,,,,
15,idle,,,,,
16,idle,,,,,
17,idle,,,,,
18,idle,,,,,
19,idle,,,,,
20,idle,,,,,
21,idle,,,,,
22,idle,,,,,
23,idle,,,,,
24,idle,,,,,
25,obs,,P.47.S,,,
26,obs,,P.47,,[1510452 1510454 1510455 1510456],0.37482
27,obs,,P.47.E,,,
28,obs,,P.47.S,,,
29,obs,,P.47,,[1507507 1507508 1507509],0.14774
30,obs,,,,,
31,obs,,P.47,,[1506523 1506524 1506525],0.15095
32,obs,,P.47,,[1505532 1505533 1505534 1505535],0.17197
33,obs,,,,,
34,obs,,P.47,,[1503552 1503553 1503554],0.15816
35,obs,,P.47,,[1502563 1502564 1502565 1502566],0.27826
36,obs,,P.47.E,,,
37,slew,,,,,
38,slew,,,,,
39,slew,,,,,
40,idle,,,,,
41,idle,,,,,
42,idle,,,,,
43,idle,,,,,
44,idle,,,,,
45,idle,,,,,
46,obs,,P.49.S,,,
47,obs,,P.49,,[1492717 1492718 1492719],0.35183
48,obs,,P.49.E,,,
51,obs,,P.49.S,,,
52,obs,,P.49,,[1488812 1488813 1488814],0.35318
53,obs,,P.49.E,,,
55,obs,,P.49.S,,,
56,obs,,P.49,,[1485918 1485919 1485920 1485922],0.3728
57,obs,,P.49,,[1484961 1484962 1484963],0.35347
58,obs,,P.49,,[1483999 1484000 1484001 1484003],0.37495
59,obs,,P.49.E,,,
60,slew,,,,,
61,slew,,,,,
62,slew,,,,,
63,slew,,,,,
64,obs,,P.46.S,,,
65,obs,,P.46,,[1478397 1478398],0.23525
66,obs,,,,,
67,obs,,P.46,,[1477488 1477489 1477490 1477491],0.46978
68,obs,,P.46,,[1476583 1476584 1476585],0.35228
69,obs,,P.46,,[1475670 1475671 1475672],0.35161
70,obs,,P.46,,[1474761 1474762 1474763 1474764],0.47087
71,obs,,P.46,,[1473853 1473854 1473855 1473856],0.46953
72,obs,,,,,
73,obs,,P.46,,[1472941 1472942 1472943 1472944],0.4747
74,obs,,P.46,,[1472035 1472036 1472037 1472038],0.47311
75,obs,,P.46,,[1471136 1471137 1471138 1471139],0.47151
76,obs,,P.46,,[1470234 1470235 1470236 1470237],0.47101
77,obs,,P.46,,[1469336 1469337 1469338 1469339],0.46979
78,obs,,,,,
79,obs,,P.46,,[1468427 1468428 1468429 1468430],0.37346
80,obs,,P.46,,[1467518 1467519 1467520 1467521],0.37292
81,obs,,P.46,,[1466607 1466608 1466609 1466610],0.46959
82,obs,,P.46,,[1465695 1465696 1465697 1465698],0.46927
83,obs,,P.46,,[1464785 1464786 1464787],0.25637
84,obs,,P.46.E,,,
85,obs,,P.46.S,,,
86,obs,,P.46,,[1462960 1462961 1462962],0.35371
87,obs,,P.46,,[1462045 1462046 1462047],0.35262
88,obs,,P.46,,[1461126 1461127 1461128],0.25653
89,obs,,P.46,,[1460206 1460207 1460208],0.35337
90,obs,,P.46,,[1459295 1459296 1459297],0.25906
91,obs,,,,,
92,obs,,P.46,,[1458381 1458382 1458383 1458384],0.37338
93,obs,,P.46,,[1457468 1457470 1457471 1457472],0.37553
94,obs,,P.46,,[1456553 1456554 1456555],0.35405
95,obs,,P.46,,[3293],0.02529
96,obs,,P.46,,[1454687 1454689 1454690 1454691],0.27745
97,obs,,P.46,,[1453744],0.11798
98,obs,,,,,
99,obs,,P.46,,[1452795 1452796 1452797],0.35544
100,obs,,P.46,,[1451839 1451840 1451841],0.35315
101,obs,,P.46,,[1450877 1450878 1450879],0.35261
102,obs,,P.46,,[1449910 1449911 1449912],0.35161
103,obs,,P.46,,[1448945 1448946 1448947],0.35283
104,obs,,,,,
105,obs,,P.46,,[1447990 1447991],0.23488
106,obs,,P.46,,[1447034 1447036 1447037],0.25653
107,obs,,P.46,,[1446093 1446094],0.23484
108,obs,,P.46,,[1445158],0.11745
109,obs,,P.46,,[1444219 1444223],0.14268
110,obs,,P.46,,[1443283],0.12199
111,obs,,,,,
112,obs,,P.46,,[1442336],0.11792
113,obs,,P.46,,[1441386],0.12199
114,obs,,P.46,,[1440437 1440438],0.24077
115,obs,,P.46,,[1439482 1439483],0.23905
116,obs,,P.46,,[1438516 1438517],0.23586
117,obs,,P.46,,[1437550 1437551],0.23705
118,obs,,,,,
119,obs,,P.46,,[1436595 1436596],0.23488
120,obs,,P.46,,[1435640 1435641],0.23494
121,obs,,P.46,,[1434678 1434679],0.23505
122,obs,,P.46,,[1433717 1433718],0.23583
123,obs,,P.46,,[1432758 1432759],0.23475
124,obs,,P.46,,[1431805 1431806],0.2345
125,obs,,P.46,,[6112 6113 6114 6115 6116 6117 6118 6119],0.86573
126,obs,,P.46,,[1430854 1430855],0.12908
127,obs,,P.46,,[1429915 1429916],0.23494
128,obs,,P.46,,[1428978 1428980 1428981],0.25604
129,obs,,P.46,,[1428047 1428048 1428049],0.2553
130,obs,,P.46,,[1427113 1427114 1427115],0.35271
131,obs,,P.46,,[1426192 1426193 1426194],0.3531
132,obs,,,,,
133,obs,,P.46,,[1425267 1425268 1425269],0.35426
134,obs,,P.46,,[1424339 1424340 1424341],0.35267
135,obs,,P.46,,[1423419 1423420],0.24183
136,obs,,P.46,,[1422503 1422504],0.25043
137,obs,,P.46,,[1421583],0.11738
138,obs,,P.46,,[1420662 1420663],0.23492
139,obs,,P.46,,[8133 8134 8135 8136 8137 8138],0.25198
140,obs,,P.46,,[1419745 1419746 1419747],0.24659
141,obs,,P.46,,[1418821 1418822 1418823],0.24721
142,obs,,P.46,,[1417904 1417905],0.24034
143,obs,,P.46.E,,,
144,slew,,,,,
145,slew,,,,,
146,slew,,,,,
147,slew,,,,,
148,idle,,,,,
149,idle,,,,,
150,obs,,P.42.S,,,
151,obs,,P.42,,[9358 9359],0.13673
152,obs,,P.42,,[9356 9357],0.22457
153,obs,,P.42.E,,,
154,slew,,,,,
155,slew,,,,,
156,slew,,,,,
157,slew,,,,,
158,slew,,,,,
159,slew,,,,,
160,obs,,P.49.S,,,
161,obs,,P.49,,[12196 12197 12201],0.06176
162,obs,,P.49,,[12195],0.02056
163,obs,,P.49.E,,,
165,obs,,P.49.S,,,
166,obs,,P.49,,[13196],0.02034
167,obs,,P.49.E,,,
169,obs,,P.49.S,,,
170,obs,,P.49,,[14258],0.02268
171,obs,,P.49.E,,,
172,obs,,P.49.S,,,
173,obs,,P.49,,[15421],0.02072
174,obs,,P.49,,[15415],0.02036
175,obs,,P.49.E,,,
176,obs,,P.49.S,,,
177,obs,,P.49,,[16612 16613 16614 16615 16616 16619],0.12356
178,obs,,P.49,,[16610 16611],0.04111
179,obs,,,,,
180,obs,,P.49,,[17858 17859],0.0413
181,obs,,P.49,,[17851 17852],0.04131
182,obs,,,,,
183,obs,,P.49,,[19117],0.02041
184,obs,,P.49,,[19116],0.02033
185,obs,,P.49.E,,,
186,obs,,P.49.S,,,
187,obs,,P.49,,[20379 20380 20382],0.14872
188,obs,,P.49,,[20377 20378],0.04088
189,obs,,P.49.E,,,
190,obs,,P.49.S,,,
191,obs,,P.49,,[21779],0.1077
192,obs,,P.49.E,,,
193,obs,,P.49.S,,,
194,obs,,P.49,,[23227],0.10872
195,obs,,P.49.E,,,
197,obs,,P.49.S,,,
198,obs,,P.49,,[24714],0.10783
199,obs,,P.49.E,,,
200,slew,,,,,
201,slew,,,,,
202,obs,,P.48.S,,,
203,obs,,P.48,,[26300],0.10777
204,obs,,P.48,,[26294 26295 26296 26297 26298 26299],0.64586
205,obs,,,,,
206,obs,,P.48,,[28024],0.02046
207,obs,,P.48,,[28010 28011 28012 28013 28014],0.53931
208,obs,,P.48.E,,,
209,obs,,P.48.S,,,
210,obs,,P.48,,[29757 29758],0.12862
211,obs,,P.48,,[29753 29754 29755 29756],0.43097
212,obs,,,,,
213,obs,,P.48,,[31612 31615 31618],0.06153
214,obs,,P.48,,[31604 31605 31606 31607 31608],0.2767
215,obs,,P.48.E,,,
216,obs,,P.48.S,,,
217,obs,,P.48,,[33526 33527 33528 33529 33530 33534],0.29723
218,obs,,P.48,,[33524 33525],0.12839
219,obs,,P.48,,[35559],0.02049
220,obs,,P.48,,[35550 35552 35556 35557 35558],0.10228
221,obs,,P.48,,[35546 35547 35548 35549],0.0836
222,obs,,,,,
223,obs,,P.48,,[37712 37713 37716 37717],0.08181
