# file: s2.0-21599.May.30.22.17.40.prettyPlan.csv May.30.22.17.40
# Spacecraft with id sat2
# Epoch [JDUT1] is 2458852.5625
# Step size [s] is 1.0
TP,mode,L-band,P-band,L-band GPs,P-band GPs,reward
0,obs,,P.49,,[198238 198239 198240 198241 198242 198243 198244 198245 198246],0.02775
1,obs,,P.49,,[200560 200561 200562 200563 200564 200565],0.01773
2,obs,,P.49,,[200556 200557 200558 200559 202809 202810 202811 202812 202813 202814 202815 202816 202817],0.00683
3,obs,,P.49,,[205060],0.00047
4,obs,,P.49,,[205051 205052 205053 205054 205055 205056 205057 205058 205059 207315 207316 207317 207318 207319 207320 207321 207322 207323],0.02259
5,obs,,,,,
6,obs,,P.49,,[209548 209549 209550 209551 209552 209553 209554 209555],0.01611
7,obs,,P.49,,[209546 209547],0.00159
8,obs,,P.49,,[211749 211750 211751 211752 211753],0.01244
9,obs,,P.49,,[211745 211746 211747 211748],0.00599
10,obs,,P.49,,[213952 213953 213954 213955],0.00879
11,obs,,P.49,,[213946 213947 213948 213949 213950 213951],0.00855
12,obs,,P.49,,[216125],0.00142
13,obs,,P.49,,[216117 216118 216119 216120 216121 216122 216123 216124],0.02213
14,obs,,,,,
15,obs,,P.49,,[218257 218258 218259 218260 218261 218262 218263 218264 218265 218266],0.01755
16,obs,,,,,
17,obs,,P.49,,[220382 220383 220384 220385 220386 220387 220388 220389 220390],0.03179
18,obs,,,,,
19,obs,,P.49,,[222508 222509 222510 222511 222512 222513 222514],0.02062
20,obs,,P.49,,[222506 222507],0.00567
21,obs,,P.49,,[224632 224633 224634 224635 224636 224637],0.00972
22,obs,,P.49,,[224629 224630 224631],0.00451
23,obs,,P.49,,[226729 226730 226731 226732],0.00383
24,obs,,P.49,,[226724 226725 226726 226727 226728],0.01105
25,obs,,P.49,,[228795 228796 228797],0.00446
26,obs,,P.49,,[228789 228790 228791 228792 228793 228794],0.00446
27,obs,,P.49,,[230869],0.00212
28,obs,,P.49,,[230861 230862 230863 230864 230865 230866 230867 230868],0.01585
29,obs,,,,,
30,obs,,P.49,,[232954 232955 232956 232957 232958 232959 232960 232961 232962],0.00797
31,obs,,,,,
32,obs,,P.49,,[235086 235087 235088 235089 235090 235091 235092 235093 235094],0.00571
33,obs,,,,,
34,obs,,P.49,,[237229 237230 237231 237232 237233 237234 237235 237236 237237],0.01601
35,obs,,,,,
36,obs,,P.49,,[239360 239361 239362 239363 239364 239365 239366 239367],0.00636
37,obs,,P.49,,[239359],0.00052
38,obs,,P.49,,[241495 241496 241497 241498 241499 241500 241501 241502],0.00568
39,obs,,P.49,,[241494],8e-05
40,obs,,P.49,,[243647 243648 243649 243650 243651 243652 243653],0.00464
41,obs,,P.49,,[243645 243646],0.00055
42,obs,,P.49,,[245789 245790 245791 245792 245793 245794],0.00351
43,obs,,P.49,,[245786 245787 245788],0.00274
44,obs,,P.49,,[247930 247931 247932 247933 247934 247935],0.00293
45,obs,,P.49,,[247927 247928 247929],0.00068
46,obs,,P.49,,[250085 250086 250087 250088 250089],0.00175
47,obs,,P.49,,[250081 250082 250083 250084],0.00221
48,obs,,P.49,,[252268 252269 252270 252271],0.00384
49,obs,,P.49,,[252263 252264 252265 252266 252267],0.00784
50,obs,,P.49,,[254442 254443 254444],0.003
51,obs,,P.49,,[254436 254437 254438 254439 254440 254441],0.00672
52,obs,,P.49,,[256609 256610 256611 256612],0.00797
53,obs,,P.49,,[256604 256605 256606 256607 256608],0.00759
54,obs,,P.49,,[258761 258762 258763],0.00714
55,obs,,P.49,,[258756 258757 258758 258759 258760],0.01247
56,obs,,P.49,,[260903 260904 260905],0.0074
57,obs,,P.49,,[260897 260898 260899 260900 260901 260902],0.01441
58,obs,,P.49,,[263074 263075 263076],0.00675
59,obs,,P.49,,[263068 263069 263070 263071 263072 263073],0.01332
60,obs,,P.49,,[265231 265232 265233],0.00742
61,obs,,P.49,,[265225 265226 265227 265228 265229 265230],0.01367
62,obs,,P.49,,[267375 267376 267377],0.00488
63,obs,,P.49,,[267369 267370 267371 267372 267373 267374],0.01603
64,obs,,P.49,,[269519 269520 269521],0.0065
65,obs,,P.49,,[269514 269515 269516 269517 269518],0.01142
66,obs,,P.49,,[271667 271668 271669],0.00434
67,obs,,P.49,,[271661 271662 271663 271664 271665 271666],0.01019
68,obs,,P.49,,[273818 273819 273820],0.00827
69,obs,,P.49,,[273813 273814 273815 273816 273817],0.01361
70,obs,,P.49,,[276016 276017 276018 276019],0.01021
71,obs,,P.49,,[276011 276012 276013 276014 276015],0.01464
72,obs,,P.49,,[278226 278227 278228 278229 278230],0.0108
73,obs,,P.49,,[278222 278223 278224 278225],0.00981
74,obs,,P.49,,[280463 280464 280465 280466 280467],0.01138
75,obs,,P.49,,[280460 280461 280462],0.00662
76,obs,,P.49,,[282706 282707 282708 282709 282710 282711],0.01346
77,obs,,P.49,,[282703 282704 282705],0.0072
78,obs,,P.49,,[284931 284932 284933 284934 284935 284936],0.01474
79,obs,,P.49,,[284929 284930],0.0047
80,obs,,P.49,,[287159 287160 287161 287162 287163 287164 287165],0.01651
81,obs,,P.49,,[287158],0.00234
82,obs,,P.49,,[289398 289399 289400 289401 289402 289403 289404 289405],0.01996
83,obs,,P.49,,[289397],0.00299
84,obs,,P.49,,[291644 291645 291646 291647 291648 291649 291650 291651],0.02022
85,obs,,,,,
86,obs,,P.49,,[293900 293901 293902 293903 293904 293905 293906 293907],0.0192
87,obs,,,,,
88,obs,,P.49,,[296198 296199 296200 296201 296202 296203 296204 296205 296206],0.02245
89,obs,,,,,
90,obs,,P.49,,[298499 298500 298501 298502 298503 298504 298505 298506],0.02079
91,obs,,,,,
92,obs,,P.49,,[300803 300804 300805 300806 300807 300808 300809 300810],0.02108
93,obs,,P.49,,[303109],0.00218
94,obs,,P.49,,[303102 303103 303104 303105 303106 303107 303108],0.01656
95,obs,,P.49,,[305418 305419 305420],0.00664
96,obs,,P.49,,[305413 305414 305415 305416 305417],0.01151
97,obs,,P.49,,[307738 307739 307740 307741 307742],0.01141
98,obs,,P.49,,[307735 307736 307737],0.00662
99,obs,,P.49,,[310090 310091 310092 310093 310094],0.01116
100,obs,,P.49,,[310087 310088 310089],0.00707
101,obs,,P.49,,[312456 312457 312458 312459 312460 312461 312462 312463],0.01845
102,obs,,,,,
103,obs,,P.49,,[314829 314830 314831 314832 314833 314834 314835 314836],0.02236
104,obs,,,,,
105,obs,,P.49,,[317221 317222 317223 317224 317225 317226 317227 317228],0.01801
106,obs,,,,,
107,obs,,P.49,,[319612 319613 319614 319615 319616 319617 319618 319619],0.01738
108,obs,,P.49,,[322005 322006],0.00447
109,obs,,P.49,,[321999 322000 322001 322002 322003 322004],0.01421
110,obs,,P.49,,[324370 324371 324372],0.00698
111,obs,,P.49,,[324365 324366 324367 324368 324369],0.01175
112,obs,,P.49,,[326723 326724 326725 326726 326727],0.01171
113,obs,,P.49,,[326720 326721 326722],0.00727
114,obs,,P.49,,[329073 329074 329075 329076 329077 329078 329079 329080],0.02041
