# file: s1.64800-86399.May.31.22.11.59.prettyPlan.csv May.31.22.11.59
# Spacecraft with id sat1
# Epoch [JDUT1] is 2458853.3125
# Step size [s] is 1.0
TP,mode,L-band,P-band,L-band GPs,P-band GPs,reward
0,obs,L.24.S,P.24,,[642374 642375 642376 642377 642378 642379 644016 644017 644018 644019 644020 644021],0.55443
1,obs,L.24,,[645642 645643 645644],,0.04561
2,obs,L.24.E,P.24,,[645645 645646 647263 647264 647265 647266 647267 648868 648869 648870 648871 648872 648873],0.17721
3,obs,,P.24,,[650441],0.0135
4,obs,,P.24,,[650442 650443 650444 650445 650446 651993 651994 651995 651996 651997 651998],0.14943
5,obs,,P.24,,[653552 653553 653554 653555 653556 653557],0.08105
6,obs,L.24.S,P.24,,[655113 655114 655115],0.04064
7,obs,L.24,,[655116 655117],,0.04134
8,obs,L.24.E,P.24,,[656674 656675 656676 656677 656678 656679],0.08134
9,obs,,P.24,,[658252 658253 658254 658255 658256],0.0682
10,obs,L.24.S,P.24,,[658257 659843 659844],0.04135
11,obs,L.24,,[659845 659846 659847],,0.06276
12,obs,L.24.E,P.24,,[661460 661461 661462 661463 661464],0.06806
13,obs,,P.24,,[663081 663082 663083 663084],0.05463
14,obs,,P.24,,[663085 663086],0.02726
15,obs,,P.24,,[664717 664718 664719 664720 664721],0.06793
16,obs,,P.24,,[666359 666360 666361 666362 666363],0.06832
17,obs,L.24.S,P.24,,[668030 668031],0.02794
18,obs,L.24,,[668032 668033],,0.0417
19,obs,,P.24,,[669695 669696 669697 669698 669699],0.06874
20,obs,L.24,,[671377 671378 671379],,0.06316
21,obs,,P.24,,[671380],0.01392
22,obs,L.24,P.24.E,[673039 673040 673041],,0.06459
23,obs,L.24,,[674679],,0.02241
24,obs,L.24.E,,,,
25,slew,,,,,
26,slew,,,,,
27,slew,,,,,
28,slew,,,,,
29,obs,,P.21.S,,,
30,obs,,P.21,,[684346 684347 684348],0.09154
31,obs,,P.21,,[685928 685929 685930 685931],0.12803
32,obs,,P.21.E,,,
33,slew,,,,,
34,slew,,,,,
35,slew,,,,,
36,slew,,,,,
37,obs,,P.18.S,,,
38,obs,,P.18,,[693706],0.03006
39,obs,,P.18,,[695256 695257],0.05897
40,obs,,P.18,,[696799 696800],0.05963
41,obs,,P.18,,[698347 698348],0.07281
42,obs,,,,,
43,obs,,P.18,,[699916],0.03216
44,obs,,P.18.E,,,
45,slew,,,,,
46,slew,,,,,
47,slew,,,,,
48,slew,,,,,
49,slew,,,,,
50,slew,,,,,
51,slew,,,,,
52,slew,,,,,
53,slew,,,,,
54,slew,,,,,
55,slew,,,,,
56,slew,,,,,
57,slew,,,,,
58,slew,,,,,
59,slew,,,,,
60,slew,,,,,
61,slew,,,,,
62,idle,,,,,
63,idle,,,,,
64,idle,,,,,
65,idle,,,,,
66,idle,,,,,
67,idle,,,,,
68,idle,,,,,
69,idle,,,,,
70,idle,,,,,
71,idle,,,,,
72,idle,,,,,
73,idle,,,,,
74,idle,,,,,
75,idle,,,,,
76,idle,,,,,
77,idle,,,,,
78,idle,,,,,
79,idle,,,,,
80,idle,,,,,
81,idle,,,,,
82,idle,,,,,
83,idle,,,,,
84,idle,,,,,
85,idle,,,,,
86,idle,,,,,
87,idle,,,,,
88,idle,,,,,
89,idle,,,,,
90,idle,,,,,
91,idle,,,,,
92,idle,,,,,
93,idle,,,,,
94,idle,,,,,
95,idle,,,,,
96,idle,,,,,
97,idle,,,,,
98,idle,,,,,
99,idle,,,,,
100,idle,,,,,
101,idle,,,,,
102,idle,,,,,
103,idle,,,,,
104,idle,,,,,
105,idle,,,,,
106,idle,,,,,
107,idle,,,,,
108,idle,,,,,
109,idle,,,,,
110,idle,,,,,
111,idle,,,,,
112,idle,,,,,
113,idle,,,,,
114,idle,,,,,
115,idle,,,,,
116,idle,,,,,
117,idle,,,,,
118,idle,,,,,
119,idle,,,,,
120,idle,,,,,
121,idle,,,,,
122,idle,,,,,
123,idle,,,,,
124,idle,,,,,
125,idle,,,,,
126,idle,,,,,
127,idle,,,,,
128,idle,,,,,
129,idle,,,,,
130,idle,,,,,
131,idle,,,,,
132,idle,,,,,
133,idle,,,,,
134,idle,,,,,
135,idle,,,,,
136,idle,,,,,
137,idle,,,,,
138,idle,,,,,
139,idle,,,,,
140,idle,,,,,
141,idle,,,,,
142,idle,,,,,
143,idle,,,,,
144,idle,,,,,
145,idle,,,,,
146,idle,,,,,
147,idle,,,,,
148,idle,,,,,
149,idle,,,,,
150,idle,,,,,
151,idle,,,,,
152,idle,,,,,
153,idle,,,,,
154,idle,,,,,
155,idle,,,,,
156,idle,,,,,
157,idle,,,,,
158,idle,,,,,
159,idle,,,,,
160,idle,,,,,
161,idle,,,,,
162,idle,,,,,
163,idle,,,,,
164,idle,,,,,
165,idle,,,,,
166,idle,,,,,
167,idle,,,,,
168,idle,,,,,
169,idle,,,,,
170,idle,,,,,
171,idle,,,,,
172,idle,,,,,
173,idle,,,,,
174,idle,,,,,
175,idle,,,,,
176,idle,,,,,
177,idle,,,,,
178,idle,,,,,
179,idle,,,,,
180,idle,,,,,
181,idle,,,,,
182,idle,,,,,
183,idle,,,,,
184,idle,,,,,
185,idle,,,,,
186,idle,,,,,
187,idle,,,,,
188,idle,,,,,
189,idle,,,,,
190,idle,,,,,
191,idle,,,,,
192,idle,,,,,
193,idle,,,,,
194,idle,,,,,
195,idle,,,,,
196,idle,,,,,
197,idle,,,,,
198,idle,,,,,
199,idle,,,,,
200,idle,,,,,
201,idle,,,,,
202,idle,,,,,
203,idle,,,,,
204,idle,,,,,
205,idle,,,,,
206,idle,,,,,
207,idle,,,,,
208,idle,,,,,
209,idle,,,,,
210,idle,,,,,
211,idle,,,,,
212,idle,,,,,
213,idle,,,,,
214,idle,,,,,
215,idle,,,,,
216,idle,,,,,
217,idle,,,,,
218,idle,,,,,
219,idle,,,,,
220,idle,,,,,
221,idle,,,,,
222,idle,,,,,
223,idle,,,,,
224,idle,,,,,
225,idle,,,,,
226,idle,,,,,
227,idle,,,,,
228,idle,,,,,
229,idle,,,,,
230,idle,,,,,
231,idle,,,,,
232,idle,,,,,
233,idle,,,,,
234,idle,,,,,
235,idle,,,,,
236,idle,,,,,
237,idle,,,,,
238,idle,,,,,
239,idle,,,,,
240,idle,,,,,
241,idle,,,,,
242,idle,,,,,
243,idle,,,,,
244,idle,,,,,
245,idle,,,,,
246,idle,,,,,
247,idle,,,,,
248,idle,,,,,
249,idle,,,,,
250,idle,,,,,
251,idle,,,,,
252,obs,L.32.S,,,,
253,obs,L.32,,[950235 950236],,0.237
254,obs,L.32.E,,,,
255,slew,,,,,
256,slew,,,,,
257,slew,,,,,
258,idle,,,,,
259,idle,,,,,
260,obs,,P.33.S,,,
261,obs,,P.33,,[957698],0.02969
262,obs,,P.33,,[958936],0.03055
263,obs,,P.33.E,,,
264,slew,,,,,
265,slew,,,,,
266,slew,,,,,
267,slew,,,,,
268,slew,,,,,
269,idle,,,,,
270,idle,,,,,
271,idle,,,,,
272,idle,,,,,
273,idle,,,,,
274,idle,,,,,
275,idle,,,,,
276,idle,,,,,
277,idle,,,,,
278,idle,,,,,
279,idle,,,,,
280,obs,L.36.S,,,,
281,obs,L.36,,[978525 978526],,0.05835
282,obs,L.36,,[979742],,0.02592
283,obs,L.36.E,,,,
284,slew,,,,,
285,slew,,,,,
286,slew,,,,,
287,idle,,,,,
288,idle,,,,,
289,obs,L.37.S,,,,
290,obs,L.37,P.37.S,[988572],,0.02347
291,obs,L.37.E,P.37,,[989813 989814],0.03632
292,obs,,P.37,,[991041 991042],0.04255
293,obs,,P.37.E,,,
298,obs,L.37.S,,,,
299,obs,L.37,,[998045 998046],,0.04719
300,obs,L.37.E,,,,
303,obs,L.37.S,,,,
304,obs,L.37,,[1002602],,0.04041
305,obs,L.37.E,,,,
312,obs,L.37.S,,,,
313,obs,L.37,,[1011616],,0.03029
314,obs,L.37.E,,,,
315,slew,,,,,
316,slew,,,,,
317,slew,,,,,
318,obs,,P.36.S,,,
319,obs,,P.36,,[1017074 1017075],0.02919
320,obs,,P.36.E,,,
321,slew,,,,,
322,slew,,,,,
323,slew,,,,,
324,idle,,,,,
325,idle,,,,,
326,idle,,,,,
327,idle,,,,,
328,idle,,,,,
329,idle,,,,,
330,idle,,,,,
331,idle,,,,,
332,idle,,,,,
333,idle,,,,,
334,obs,L.37.S,,,,
335,obs,L.37,,[1031673],,0.03323
336,obs,,,,,
337,obs,L.37,,[1032698 1032699],,0.05033
338,obs,L.37,,[1033723 1033724],,0.05653
339,obs,L.37,,[1034745 1034746 1034747],,0.08078
340,obs,L.37,,[1035769 1035770],,0.0475
341,obs,L.37,,[1036790 1036791],,0.05148
342,obs,L.37,P.37.S,[1037814],,0.02104
343,obs,L.37.E,P.37,,[1037813],0.01382
344,obs,,P.37,,[1038826],0.02599
345,obs,,P.37.E,,,
346,slew,,,,,
347,slew,,,,,
348,slew,,,,,
349,slew,,,,,
350,idle,,,,,
351,idle,,,,,
352,obs,,P.35.S,,,
353,obs,,P.35,,[1046771 1046772],0.0685
354,obs,,P.35,,[1047759 1047760 1047761],0.15964
355,obs,,P.35,,[1048748 1048749],0.06429
356,obs,,P.35.E,,,
357,slew,,,,,
358,slew,,,,,
359,slew,,,,,
360,idle,,,,,
361,obs,,P.34.S,,,
362,obs,,P.34,,[1054570 1054571],0.06373
363,obs,,P.34,,[1055509 1055510 1055511],0.31241
364,obs,,P.34,,[1056454 1056455],0.26973
365,obs,,P.34,,[1056456 1056457],0.28279
366,obs,,P.34,,[1057383 1057384 1057385],0.093
367,obs,,P.34,,[1058302 1058303],0.06386
368,obs,,P.34,,[1059215 1059216],0.06299
369,obs,,P.34,,[1060133],0.03453
370,obs,,P.34.E,,,
371,slew,,,,,
372,slew,,,,,
373,slew,,,,,
374,slew,,,,,
375,slew,,,,,
376,slew,,,,,
377,slew,,,,,
378,slew,,,,,
379,slew,,,,,
380,slew,,,,,
381,slew,,,,,
382,slew,,,,,
383,slew,,,,,
384,slew,,,,,
385,slew,,,,,
386,slew,,,,,
387,idle,,,,,
388,idle,,,,,
389,idle,,,,,
390,idle,,,,,
391,idle,,,,,
392,idle,,,,,
393,idle,,,,,
394,idle,,,,,
395,idle,,,,,
396,idle,,,,,
397,idle,,,,,
398,idle,,,,,
399,idle,,,,,
400,idle,,,,,
401,idle,,,,,
402,idle,,,,,
403,idle,,,,,
404,idle,,,,,
405,idle,,,,,
406,idle,,,,,
407,idle,,,,,
408,idle,,,,,
409,idle,,,,,
410,idle,,,,,
411,idle,,,,,
412,idle,,,,,
413,idle,,,,,
414,idle,,,,,
415,idle,,,,,
416,idle,,,,,
417,idle,,,,,
418,idle,,,,,
419,idle,,,,,
420,idle,,,,,
421,idle,,,,,
422,idle,,,,,
423,obs,,P.28.S,,,
424,obs,,P.28,,[1106232 1106233],0.0593
425,obs,,P.28,,[1107208 1107209],0.08433
426,obs,,P.28,,[1108189],0.03111
427,obs,,P.28.E,,,
428,slew,,,,,
429,slew,,,,,
430,slew,,,,,
431,slew,,,,,
432,slew,,,,,
433,slew,,,,,
434,slew,,,,,
435,slew,,,,,
436,slew,,,,,
437,slew,,,,,
438,slew,,,,,
439,slew,,,,,
440,slew,,,,,
441,slew,,,,,
442,slew,,,,,
443,slew,,,,,
444,slew,,,,,
445,slew,,,,,
446,idle,,,,,
447,idle,,,,,
448,idle,,,,,
449,idle,,,,,
450,idle,,,,,
451,idle,,,,,
452,idle,,,,,
453,idle,,,,,
454,idle,,,,,
455,idle,,,,,
456,idle,,,,,
457,obs,,P.42.S,,,
458,obs,,P.42,,[1135068],0.02901
459,obs,,P.42,,[1136048],0.02901
460,obs,,P.42.E,,,
461,slew,,,,,
462,slew,,,,,
463,slew,,,,,
464,slew,,,,,
465,slew,,,,,
466,slew,,,,,
467,slew,,,,,
468,slew,,,,,
469,slew,,,,,
470,slew,,,,,
471,slew,,,,,
472,slew,,,,,
473,slew,,,,,
474,slew,,,,,
475,slew,,,,,
476,slew,,,,,
477,slew,,,,,
478,slew,,,,,
479,slew,,,,,
480,idle,,,,,
481,idle,,,,,
482,idle,,,,,
483,idle,,,,,
484,idle,,,,,
485,idle,,,,,
486,idle,,,,,
487,idle,,,,,
488,idle,,,,,
489,idle,,,,,
490,idle,,,,,
491,idle,,,,,
492,idle,,,,,
493,idle,,,,,
494,idle,,,,,
495,idle,,,,,
496,idle,,,,,
497,idle,,,,,
498,idle,,,,,
499,idle,,,,,
500,idle,,,,,
501,idle,,,,,
502,idle,,,,,
503,idle,,,,,
504,idle,,,,,
505,idle,,,,,
506,idle,,,,,
507,idle,,,,,
508,idle,,,,,
509,idle,,,,,
510,idle,,,,,
511,idle,,,,,
512,idle,,,,,
513,idle,,,,,
514,idle,,,,,
515,idle,,,,,
516,idle,,,,,
517,idle,,,,,
518,idle,,,,,
519,idle,,,,,
520,idle,,,,,
521,idle,,,,,
522,idle,,,,,
523,idle,,,,,
524,idle,,,,,
525,idle,,,,,
526,idle,,,,,
527,idle,,,,,
528,idle,,,,,
529,idle,,,,,
530,idle,,,,,
531,idle,,,,,
532,idle,,,,,
533,idle,,,,,
534,idle,,,,,
535,idle,,,,,
536,idle,,,,,
537,idle,,,,,
538,idle,,,,,
539,idle,,,,,
540,idle,,,,,
541,idle,,,,,
542,idle,,,,,
543,idle,,,,,
544,idle,,,,,
545,idle,,,,,
546,idle,,,,,
547,idle,,,,,
548,idle,,,,,
549,idle,,,,,
550,idle,,,,,
551,idle,,,,,
552,idle,,,,,
553,idle,,,,,
554,idle,,,,,
555,idle,,,,,
556,idle,,,,,
557,idle,,,,,
558,idle,,,,,
559,idle,,,,,
560,idle,,,,,
561,idle,,,,,
562,idle,,,,,
563,idle,,,,,
564,idle,,,,,
565,idle,,,,,
566,idle,,,,,
567,idle,,,,,
568,idle,,,,,
569,idle,,,,,
570,idle,,,,,
571,idle,,,,,
572,idle,,,,,
573,idle,,,,,
574,idle,,,,,
575,idle,,,,,
576,idle,,,,,
577,idle,,,,,
578,idle,,,,,
579,idle,,,,,
580,obs,,P.16.S,,,
581,obs,,P.16,,[1232690],0.04179
582,obs,,P.16.E,,,
584,obs,,P.16.S,,,
585,obs,,P.16,,[1235316],0.0439
586,obs,,P.16,,[1236203],0.04606
587,obs,,P.16.E,,,
589,obs,,P.16.S,,,
590,obs,,P.16,,[1239886],0.03348
591,obs,,,,,
592,obs,,P.16,,[1240818],0.03104
593,obs,,P.16,,[1241742],0.03165
594,obs,,P.16,,[1242689],0.03163
595,obs,,P.16.E,,,
597,obs,,P.16.S,,,
598,obs,,P.16,,[1246453 1246454 1246455 1246456],0.76077
599,obs,,P.16,,[1247402 1247403 1247404 1247405],0.12085
600,obs,,P.16.E,,,
601,slew,,,,,
602,slew,,,,,
603,slew,,,,,
604,idle,,,,,
605,obs,,P.14.S,,,
606,obs,,P.14,,[1253165],0.23717
607,obs,,P.14,,[1254117 1254118],0.06559
608,obs,,P.14,,[1255068 1255069],0.05962
609,obs,,,,,
610,obs,,P.14,,[1256017],0.03049
611,obs,,,,,
612,obs,,P.14,,[1257884 1257885],0.06291
613,obs,,P.14,,[1258831 1258832],0.06955
614,obs,,P.14,,[1259794 1259795],0.0635
615,obs,,P.14,,[1260770 1260771 1260772 1260773],0.12179
616,obs,,P.14,,[1261762 1261763 1261764 1261765],0.11894
617,obs,,P.14,,[1262767 1262768 1262769],0.08934
618,obs,,P.14,,[1262765 1262766],0.0589
619,obs,,P.14,,[1263780 1263781 1263782 1263783 1263784],0.14737
620,obs,,P.14,,[1264810 1264811 1264812 1264813],0.11748
621,obs,,P.14,,[1265859 1265860 1265861 1265862],0.11853
622,obs,,P.14,,[1266916 1266917 1266918 1266919 1266920],0.1466
623,obs,,P.14,,[1267974 1267975 1267976 1267977 1267978],0.14913
624,obs,,P.14,,[1269026 1269027 1269028 1269029 1269030],0.14913
625,obs,,P.14,,[1270075 1270076 1270077 1270078 1270079],0.14737
626,obs,,P.14,,[1271126 1271127 1271128 1271129],0.11928
627,obs,,P.14,,[1271125 1272182],0.06027
628,obs,,P.14,,[1272178 1272179 1272180 1272181],0.11798
629,obs,,P.14,,[1273217 1273218 1273219 1273220 1273221],0.14643
630,obs,,P.14,,[1274256 1274257 1274258 1274259 1274260],0.14704
631,obs,,P.14,,[1275281 1275282 1275283 1275284 1275285],0.14957
632,obs,,P.14,,[1276292 1276293 1276294 1276295 1276296],0.15343
633,obs,,P.14,,[1277294 1277295 1277296 1277297 1277298],0.14961
634,obs,,P.14,,[1278289 1278290 1278291 1278292],0.11937
635,obs,,P.14,,[1279267 1279268 1279269 1279270],0.11822
636,obs,,,,,
