# file: s2.43200-64799.May.31.22.10.18.prettyPlan.csv May.31.22.10.18
# Spacecraft with id sat2
# Epoch [JDUT1] is 2458853.0625
# Step size [s] is 1.0
TP,mode,L-band,P-band,L-band GPs,P-band GPs,reward
120,obs,,P.46,,[1435640 1435641],0.23494
121,obs,,P.46,,[1434678 1434679],0.23505
122,obs,,P.46,,[1433717 1433718],0.23583
123,obs,,P.46,,[1432758 1432759],0.23475
124,obs,,P.46,,[1431805 1431806],0.2345
125,obs,,,,,
126,obs,,P.46,,[1430854 1430855],0.12908
127,obs,,P.46,,[1429915 1429916],0.23494
128,obs,,P.46,,[1428978 1428980 1428981],0.25604
129,obs,,P.46,,[1428047 1428048 1428049],0.2553
130,obs,,P.46,,[1427113 1427114 1427115],0.35271
131,obs,,P.46,,[1426192 1426193 1426194],0.3531
132,obs,,,,,
133,obs,,P.46,,[1425267 1425268 1425269],0.35426
134,obs,,P.46,,[1424339 1424340 1424341],0.35267
135,obs,,P.46,,[1423419 1423420],0.24183
136,obs,,P.46,,[1422503 1422504],0.25043
137,obs,,P.46,,[1421583],0.11738
138,obs,,P.46,,[1420662 1420663],0.23492
139,obs,,,,,
140,obs,,P.46,,[1419745 1419746 1419747],0.24659
141,obs,,P.46,,[1418821 1418822 1418823],0.24721
142,obs,,P.46,,[1417904 1417905],0.24034
143,obs,,P.46,,[1417000 1417001],0.23515
144,obs,,P.46,,[1416099],0.12339
145,obs,,P.46.E,,,
146,slew,,,,,
147,slew,,,,,
148,obs,,P.45.S,,,
149,obs,,P.45,,[1412526 1412527],0.12992
150,obs,,P.45,,[1411653],0.01171
151,obs,,P.45.E,,,
152,slew,,,,,
153,slew,,,,,
154,obs,,P.44.S,,,
155,obs,,P.44,,[1408171],0.1177
156,obs,,P.44.E,,,
157,slew,,,,,
158,slew,,,,,
159,slew,,,,,
160,obs,,P.42.S,,,
161,obs,,P.42,,[1403871 1403872 1403873 1403874 1403875],0.37949
162,obs,,P.42,,[1403029 1403030 1403031],0.14237
163,obs,,P.42,,[1402175 1402176 1402177 1402178],0.25928
164,obs,,P.42,,[1401332 1401333 1401334 1401335],0.04989
165,obs,,P.42,,[1400490 1400491 1400492 1400493],0.04932
166,obs,,P.42,,[1399659 1399660],0.02423
167,obs,,P.42,,[1398834 1399661 1399662],0.06782
168,obs,,P.42,,[1398835 1398836 1398837],0.04261
169,obs,,P.42,,[1398014 1398015],0.0272
170,obs,,P.42.E,,,
171,slew,,,,,
172,slew,,,,,
173,slew,,,,,
174,slew,,,,,
175,slew,,,,,
176,obs,,P.38.S,,,
177,obs,,P.38,,[1393168 1393169],0.23481
178,obs,,P.38,,[1392364],0.11757
179,obs,,P.38,,[1391556 1391557],0.12053
180,obs,,P.38,,[1390753],0.11747
181,obs,,P.38,,[1389948 1389949 1389950],0.24252
182,obs,,P.38,,[1389145 1389146],0.23665
183,obs,,,,,
184,obs,,P.38,,[1388339 1388340],0.23727
185,obs,,P.38,,[1387533 1387534],0.23762
186,obs,,P.38,,[1386726 1386727 1386728],0.35488
187,obs,,P.38,,[1385926 1385927 1385928],0.35534
188,obs,,P.38,,[1385127],0.1178
189,obs,,P.38,,[1384328 1384329],0.11859
190,obs,,,,,
191,obs,,P.38,,[1383539],0.14461
192,obs,,P.38.E,,,
193,slew,,,,,
194,slew,,,,,
195,slew,,,,,
196,slew,,,,,
197,slew,,,,,
198,slew,,,,,
199,obs,,P.44.S,,,
200,obs,,P.44,,[1376693],0.01168
201,obs,,P.44.E,,,
202,slew,,,,,
203,slew,,,,,
204,slew,,,,,
205,idle,,,,,
206,idle,,,,,
207,idle,,,,,
208,idle,,,,,
209,idle,,,,,
210,idle,,,,,
211,idle,,,,,
212,idle,,,,,
213,idle,,,,,
214,idle,,,,,
215,idle,,,,,
216,idle,,,,,
217,idle,,,,,
218,idle,,,,,
219,idle,,,,,
220,idle,,,,,
221,obs,,P.42.S,,,
222,obs,,P.42,,[1361466],0.01168
223,obs,,,,,
224,obs,,P.42,,[1360674],0.01168
225,obs,,P.42.E,,,
226,slew,,,,,
227,slew,,,,,
228,slew,,,,,
229,slew,,,,,
230,slew,,,,,
231,idle,,,,,
232,obs,,P.48.S,,,
233,obs,,P.48,,[1354126 1354127 1354128 1354129],0.27972
234,obs,,P.48,,[1353296 1353297 1353298 1353299],0.165
235,obs,,P.48.E,,,
236,slew,,,,,
237,slew,,,,,
238,slew,,,,,
239,slew,,,,,
240,slew,,,,,
241,slew,,,,,
242,slew,,,,,
243,slew,,,,,
244,slew,,,,,
245,slew,,,,,
246,slew,,,,,
247,slew,,,,,
248,slew,,,,,
249,slew,,,,,
250,slew,,,,,
251,slew,,,,,
252,slew,,,,,
253,slew,,,,,
254,slew,,,,,
255,idle,,,,,
256,idle,,,,,
257,idle,,,,,
258,idle,,,,,
259,idle,,,,,
260,idle,,,,,
261,idle,,,,,
262,idle,,,,,
263,idle,,,,,
264,idle,,,,,
265,idle,,,,,
266,idle,,,,,
267,idle,,,,,
268,idle,,,,,
269,idle,,,,,
270,idle,,,,,
271,obs,L.26.S,,,,
272,obs,L.26,,[1324772],,0.00389
273,obs,L.26,,[1323801],,0.04193
274,obs,L.26.E,,,,
275,slew,,,,,
276,slew,,,,,
277,slew,,,,,
278,slew,,,,,
279,slew,,,,,
280,idle,,,,,
281,idle,,,,,
282,idle,,,,,
283,idle,,,,,
284,idle,,,,,
285,idle,,,,,
286,idle,,,,,
287,idle,,,,,
288,idle,,,,,
289,idle,,,,,
290,idle,,,,,
291,idle,,,,,
292,idle,,,,,
293,idle,,,,,
294,idle,,,,,
295,idle,,,,,
296,idle,,,,,
297,idle,,,,,
298,idle,,,,,
299,idle,,,,,
300,idle,,,,,
301,idle,,,,,
302,idle,,,,,
303,idle,,,,,
304,idle,,,,,
305,idle,,,,,
306,idle,,,,,
307,idle,,,,,
308,idle,,,,,
309,obs,,P.29.S,,,
310,obs,,P.29,,[1292630 1292631],0.05259
311,obs,,P.29,,[1291689],0.02326
312,obs,,P.29,,[1290738 1291690],0.03046
313,obs,,P.29,,[1290739 1290740],0.04612
314,obs,,P.29,,[1289782 1289783],0.02997
315,obs,,P.29,,[1288831],0.01786
316,obs,,P.29,,[1287874],0.01379
317,obs,,P.29.E,,,
318,slew,,,,,
319,slew,,,,,
320,slew,,,,,
321,idle,,,,,
322,idle,,,,,
323,idle,,,,,
324,idle,,,,,
325,obs,,P.28.S,,,
326,obs,,P.28,,[1279158],0.01116
327,obs,,P.28.E,,,
328,slew,,,,,
329,slew,,,,,
330,slew,,,,,
331,slew,,,,,
332,slew,,,,,
333,slew,,,,,
334,slew,,,,,
335,slew,,,,,
336,slew,,,,,
337,slew,,,,,
338,slew,,,,,
339,slew,,,,,
340,slew,,,,,
341,slew,,,,,
342,slew,,,,,
343,slew,,,,,
344,slew,,,,,
345,slew,,,,,
346,idle,,,,,
347,idle,,,,,
348,idle,,,,,
349,idle,,,,,
350,idle,,,,,
351,idle,,,,,
352,idle,,,,,
353,idle,,,,,
354,idle,,,,,
355,idle,,,,,
356,idle,,,,,
357,idle,,,,,
358,idle,,,,,
359,idle,,,,,
360,idle,,,,,
361,idle,,,,,
362,idle,,,,,
363,idle,,,,,
364,idle,,,,,
365,idle,,,,,
366,idle,,,,,
367,idle,,,,,
368,idle,,,,,
369,idle,,,,,
370,idle,,,,,
371,idle,,,,,
372,idle,,,,,
373,idle,,,,,
374,idle,,,,,
375,idle,,,,,
376,idle,,,,,
377,idle,,,,,
378,idle,,,,,
379,idle,,,,,
380,idle,,,,,
381,idle,,,,,
382,idle,,,,,
383,idle,,,,,
384,idle,,,,,
385,idle,,,,,
386,idle,,,,,
387,idle,,,,,
388,idle,,,,,
389,idle,,,,,
390,idle,,,,,
391,idle,,,,,
392,idle,,,,,
393,idle,,,,,
394,idle,,,,,
395,idle,,,,,
396,idle,,,,,
397,idle,,,,,
398,idle,,,,,
399,idle,,,,,
400,idle,,,,,
401,idle,,,,,
402,idle,,,,,
403,idle,,,,,
404,idle,,,,,
405,idle,,,,,
406,idle,,,,,
407,idle,,,,,
408,idle,,,,,
409,idle,,,,,
410,idle,,,,,
411,idle,,,,,
412,idle,,,,,
413,idle,,,,,
414,idle,,,,,
415,obs,,P.49.S,,,
